nct_id,url,brief_title,official_title,overall_status,study_type,phase,primary_purpose,category,participant_stage,enrollment,lead_sponsor,interventions,conditions,countries,has_us_site,country_count,location_count,multinational,has_public_locations,study_first_post_date,last_update_post_date,start_date,primary_completion_date,completion_date,primary_outcomes,excluded_reason
NCT05462106,https://clinicaltrials.gov/study/NCT05462106,A Study to Assess the Effects of ACI-24.060 in Alzheimer's Disease and in Down Syndrome (ABATE Study),"A Phase 1b/2, Multicenter, Adaptive, Double-blind, Randomized, Placebo-controlled Study to Assess the Safety, Tolerability, Immunogenicity, and Pharmacodynamic Effects of ACI-24.060 in Subjects With Prodromal Alzheimer's Disease and in Adults With Down Syndrome (ABATE)",RECRUITING,INTERVENTIONAL,PHASE1+PHASE2,TREATMENT,Neuroinflammation and immune biology,Preclinical or elevated-risk,304,AC Immune SA,Placebo (Study Part 1a); ACI-24.060 at Dose A in Study Part 1a; ACI-24.060 at Dose B in Study Part 1a; ACI-24.060 at Dose C in Study Part 1a; ACI-24.060 with an additional adjuvant at Dose D in Study Part 1b; Placebo (Study Part 2); ACI-24.060 at Dose A in Study Part 2; ACI-24.060 at Dose B in Study Part 2; ACI-24.060 at Dose C in Study Part 2; Placebo (Study Part 1b); ACI-24.060 with an additional adjuvant at Dose E in Study Part 1b,Amyloid Plaque; Beta-Amyloid; DSAD; Prodromal Alzheimer's Disease; Alzheimer's Disease,Spain; United Kingdom; United States,True,3,26,True,True,2022-07-18,2026-07-10,2022-06-21,2029-04,2029-04,"Number of participants with Adverse Events (AEs) assessed by intensity (mild, moderate or severe) and causal relationship (unrelated, unlikely, possibly or probably related); Number of participants with Adverse Events (AEs) assessed by intensity (mild, moderate or severe) and causal relationship (unrelated, unlikely, possibly or probably related); Number of participants with abnormal MRI results","Last public update posted after June 10, 2026; historical status not reconstructed"
NCT05468073,https://clinicaltrials.gov/study/NCT05468073,Therapeutic Evaluation of Low-dose IL-2-based Immunomodulatory Approach in Patients With Early AD,Therapeutic Evaluation of Low-dose IL-2-based Immunomodulatory Approach in Patients With Early AD,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,PHASE2,TREATMENT,"Diagnostics, imaging, and biomarkers",Care partners or care systems,40,Centre Hospitalier St Anne,Proleukin; Placebo,Alzheimer Disease,France,False,1,1,False,True,2022-07-21,2026-07-22,2022-10-11,2028-06-08,2028-06-08,Change from baseline CDR score at 18 months,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT05508789,https://clinicaltrials.gov/study/NCT05508789,A Study of Donanemab (LY3002813) in Participants With Early Symptomatic Alzheimer's Disease (TRAILBLAZER-ALZ 5),Global Study to Investigate Safety and Efficacy of Donanemab in Early Symptomatic Alzheimer's Disease,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,PHASE3,TREATMENT,Tau-targeting approaches,Early Alzheimer’s disease,1500,Eli Lilly and Company,Donanemab; Placebo,Alzheimer Disease; Dementia; Brain Diseases; Central Nervous System Diseases; Nervous System Diseases; Tauopathies; Neurodegenerative Diseases; Neurocognitive Disorders; Mental Disorders,Argentina; Australia; China; Poland; South Korea; Spain; Taiwan; United Kingdom,False,8,141,True,True,2022-08-19,2026-07-16,2022-10-10,2028-05,2028-07,Change from Baseline on the Integrated Alzheimer's Disease Rating Scale (iADRS),"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT05511363,https://clinicaltrials.gov/study/NCT05511363,A Study to Assess Efficacy and Safety of KarXT for the Treatment of Psychosis Associated With Alzheimer's Disease (ADEPT-1),"A Phase 3, Randomized, Double-Blind, Placebo-Controlled Relapse Prevention Study to Evaluate the Safety and Efficacy of KarXT for the Treatment of Psychosis Associated With Alzheimer's Disease",RECRUITING,INTERVENTIONAL,PHASE3,TREATMENT,Other interventional treatment research,Care partners or care systems,410,"Karuna Therapeutics, Inc., a Bristol Myers Squibb company",KarXT; Placebo,Psychosis Associated With Alzheimer's Disease,Bulgaria; Croatia; Czechia; France; Germany; India; Italy; Serbia; Slovakia; South Korea; Spain; United Kingdom; United States,True,13,129,True,True,2022-08-23,2026-07-14,2022-08-23,2026-10-05,2026-10-05,Time from randomization to relapse during the 38-week study,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT05552157,https://clinicaltrials.gov/study/NCT05552157,A Study of Potential Disease Modifying Treatments in Individuals at Risk for or With a Type of Early Onset AD Caused by a Genetic Mutation,"A Phase II/III Multicenter Randomized, Double-Blind, Placebo-Controlled, Two-Stage Adaptive Design, Platform Trial of Investigational Treatments for Primary Prevention of Disease Progression in Dominantly Inherited Alzheimer's Disease",RECRUITING,INTERVENTIONAL,PHASE2+PHASE3,TREATMENT,Tau-targeting approaches,Preclinical or elevated-risk,280,Washington University School of Medicine,Remternetug (SC); Matching Placebo (Remternetug),"Alzheimers Disease; Dementia; Alzheimers Disease, Familial",Argentina; Australia; Canada; Colombia; France; Germany; Italy; Mexico; Netherlands; New Zealand; Puerto Rico; South Korea; Spain; United Kingdom; United States,True,15,37,True,True,2022-09-23,2026-07-27,2024-11-22,2034-03-30,2034-08-30,Stage 1: Evaluate the ability of study drug to prevent or slow the rate of Aβ accumulation compared with placebo in participants with mutations that cause DIAD; Stage 2: Evaluate the effect of anti-amyloid treatment on downstream biomarkers of AD,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT05596760,https://clinicaltrials.gov/study/NCT05596760,Promoting Goals-of-Care Discussions for Patients With Memory Problems and Their Caregivers,Hybrid Efficacy-effectiveness Trial to Promote Goals-of-care Discussions for Patients With Alzheimer's Disease and Related Dementias and Their Family Caregivers,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,NA,SUPPORTIVE_CARE,"Care, behavior, and quality of life",Care partners or care systems,1802,University of Washington,Jumpstart Guide,"Dementia; Dementia, Vascular; Mixed Dementias; Alzheimer Disease; Huntington Disease; Lewy Body Disease; Creutzfeldt-Jakob Syndrome; Frontotemporal Lobar Degeneration; Cognitive Dysfunction; Cognitive Aging; Chronic Disease; Palliative Care, Patient Care; Health Care Quality, Access, and Evaluation; Patient Care; Health Communication; Patient Care Planning; Quality of Life",United States,True,1,3,False,True,2022-10-27,2026-06-25,2023-09-11,2026-06-02,2027-07,EHR documentation of Goals of Care discussions,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT05607732,https://clinicaltrials.gov/study/NCT05607732,Primary Care Detection of Cognitive Impairment Leveraging Health & Consumer Technologies in Underserved Communities: The MyCog Trial,Primary Care Detection of Cognitive Impairment Leveraging Health & Consumer Technologies in Underserved Communities: The MyCog Trial,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,NA,DIAGNOSTIC,"Care, behavior, and quality of life",Care partners or care systems,57738,Northwestern University,MyCog,Dementia; Cognitive Impairment; Cognitive Decline; Alzheimer Disease,United States,True,1,1,False,True,2022-11-07,2026-06-25,2024-01-30,2026-10-30,2027-07-07,Rate of detected impairment,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT05617014,https://clinicaltrials.gov/study/NCT05617014,Alzheimer's Disease Neuroimaging Initiative 4,Alzheimer's Disease Neuroimaging Initiative 4 (ADNI4),ENROLLING_BY_INVITATION,OBSERVATIONAL,NOT_APPLICABLE,,"Diagnostics, imaging, and biomarkers",MCI or prodromal Alzheimer’s,1500,University of Southern California,Neuraceq; Amyvid; Tauvid; MK-6240; NAV4694; PI-2620,Mild Cognitive Impairment; Alzheimer Disease; Dementia,Canada; United States,True,2,62,True,True,2022-11-15,2026-07-06,2023-06-09,2027-07-31,2027-07-31,Rate of enrollment of Underrepresented Populations (URPs),"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT05619263,https://clinicaltrials.gov/study/NCT05619263,Emergency Preparedness for Caregivers of Persons With Dementia: Disaster PrepWise,Emergency Preparedness and Support for Caregivers of Persons With Dementia: Disaster PrepWise,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,NA,SUPPORTIVE_CARE,"Care, behavior, and quality of life",Care partners or care systems,250,Sato Ashida,Disaster PrepWise-Caregiver,Caregiver Resilience and Stress,United States,True,1,1,False,True,2022-11-16,2026-07-21,2023-07-12,2026-12-31,2027-06-30,Resilience; Caregiver stress,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT05643144,https://clinicaltrials.gov/study/NCT05643144,Enhancing Shared Decision-making to Guide Care for People With Dementia and Diabetes,Enhancing Shared Decision-making to Prompt and Guide Individualized Care for People With Alzheimer's Disease and Diabetes,RECRUITING,INTERVENTIONAL,NA,HEALTH_SERVICES_RESEARCH,"Care, behavior, and quality of life",Care partners or care systems,62,Indiana University,Continuous Glucose Monitoring,Diabetes; Alzheimer's Disease (Incl Subtypes); Dementia; Hypoglycemia,United States,True,1,1,False,True,2022-12-08,2026-07-24,2026-08-17,2027-06-30,2027-06-30,Feasibility- Recruitment; Feasibility- Retention; Feasibility- CGM Device Adherence,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT05709210,https://clinicaltrials.gov/study/NCT05709210,Pilot Study on the Feasibility of Using Smartphone Data as a Diagnostic Marker for Alzheimer's Disease,Pilot Study on the Feasibility of Using Smartphone Data as a Diagnostic Marker for Alzheimer's Disease,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,NA,DIAGNOSTIC,"Diagnostics, imaging, and biomarkers",Moderate or later dementia,71,Poitiers University Hospital,Recording of smartphone usage data,Alzheimer Disease; Memory Disorders,France,False,1,1,False,True,2023-02-02,2026-07-22,2023-07-20,2026-10-02,2026-10-02,Comparison of a mathematical combination,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT05734638,https://clinicaltrials.gov/study/NCT05734638,Stress and Blood Pressure Management for Caregivers,Self-Care and Blood Pressure for Women Caregivers of Black and African-Americans With Alzheimer's Disease or Other Memory Problems *,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,NA,PREVENTION,"Care, behavior, and quality of life",Care partners or care systems,90,Ohio State University,MIM-DASH; MIM Only; DASH Only,"Hypertension; Stress, Psychological",United States,True,1,1,False,True,2023-02-21,2026-06-23,2023-09-11,2026-03-12,2026-07-30,Blood Pressure,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT05738486,https://clinicaltrials.gov/study/NCT05738486,A Study of Different Donanemab (LY3002813) Dosing Regimens in Adults With Early Alzheimer's Disease (TRAILBLAZER-ALZ 6),Investigating the Effect of Different Donanemab Dosing Regimens on ARIA-E and Amyloid Lowering in Adults With Early Symptomatic Alzheimer's Disease,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,PHASE3,TREATMENT,Amyloid-targeting approaches,Early Alzheimer’s disease,1175,Eli Lilly and Company,Donanemab; Placebo; Dexamethasone,Alzheimer's Disease; Dementia; Brain Diseases; Central Nervous System Diseases; Nervous System Diseases; Neurodegenerative Diseases; Neurocognitive Disorders; Mental Disorders,United Kingdom; United States,True,2,49,True,True,2023-02-22,2026-06-18,2023-02-28,2024-05-16,2027-05,Percentage of Participants With Any Occurrence of Amyloid-Related Imaging Abnormality-Edema/Effusion (ARIA-E),"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT05776641,https://clinicaltrials.gov/study/NCT05776641,Gamma Light and Sound Stimulation to Prevent Dementia in Cognitively Normal People at Risk for Alzheimer's Disease,Prevention of Alzheimer's Disease Using Gamma Entrainment,RECRUITING,INTERVENTIONAL,NA,PREVENTION,"Diagnostics, imaging, and biomarkers",Preclinical or elevated-risk,200,Massachusetts General Hospital,GENUS,Alzheimer Disease; Family Members,United States,True,1,2,False,True,2023-03-20,2026-06-18,2024-06-21,2027-05,2027-05,"Changes in brain amyloid deposition over the study period, as measured by PiB PET.","Last public update posted after June 10, 2026; historical status not reconstructed"
NCT05806697,https://clinicaltrials.gov/study/NCT05806697,Investigation of AlzHeimer's Predictors in Subjective Memory Complainers - Extension Study,Investigation of AlzHeimer's Predictors in Subjective Memory Complainers - Extension Study,RECRUITING,INTERVENTIONAL,NA,OTHER,"Diagnostics, imaging, and biomarkers",Preclinical or elevated-risk,240,"Institut National de la Santé Et de la Recherche Médicale, France",Electroencephalogram (EEG); Oculomotor tests; MRI; 18-F amyloid PET Scan; 18F-fluorodeoxyglucose (FDG) PET Scan; Blood sampling; Lumbar puncture,Alzheimer Disease; Memory Complaint; Memory Disorders,France,False,1,1,False,True,2023-04-10,2026-07-07,2023-04-14,2030-10-09,2030-10-09,The primary endpoint is the conversion to typical AD during the 5-year follow-up.,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT05809908,https://clinicaltrials.gov/study/NCT05809908,Tricaprilin Phase 3 ALTER-AD (Alternative-Alzheimer Disease) Study,"A Phase 3, 26-Week, Double-blind, Randomised, Placebo-controlled, Parallel-group Study to Investigate the Efficacy and Safety of Daily Administration of Tricaprilin as AC-OLE-01-VA in Participants With Mild to Moderate Alzheimer's Disease Dementia",NOT_YET_RECRUITING,INTERVENTIONAL,PHASE3,TREATMENT,Other interventional treatment research,Moderate or later dementia,535,Cerecin,Tricaprilin; Placebo,Alzheimer Disease,,False,0,0,False,False,2023-04-12,2026-07-01,2026-12,2029-06,2029-07,Change From Baseline in Alzheimer's Disease Assessment Scale - Cognitive Subscale (ADAS-Cog) total score; Alzheimer's Disease Cooperative Study - Clinical Global Impression of Change (ADCS-CGIC),"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT05822362,https://clinicaltrials.gov/study/NCT05822362,CBD for Individuals at Risk for Alzheimer's Disease,Cannabidiol for Individuals at Risk for Alzheimer's Disease: A Randomized Placebo Controlled Trial,RECRUITING,INTERVENTIONAL,PHASE2,TREATMENT,"Diagnostics, imaging, and biomarkers",Preclinical or elevated-risk,236,"University of Colorado, Denver",Cannabidiol; Placebo,Mild Cognitive Impairment,United States,True,1,1,False,True,2023-04-20,2026-06-15,2024-01-19,2028-04,2029-04,Neurocognitive Function; Biomarkers of Alzheimer&#39;s Disease Progression,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT05904132,https://clinicaltrials.gov/study/NCT05904132,Individual Closed-Loop Neuromodulation Therapy for Alzheimer's Disease,Individual Closed-Loop Neuromodulation Therapy for Alzheimer's Disease,RECRUITING,INTERVENTIONAL,NA,TREATMENT,"Care, behavior, and quality of life",MCI or prodromal Alzheimer’s,70,Massachusetts General Hospital,tACS device,Alzheimer Disease; Mild Cognitive Impairment,United States,True,1,1,False,True,2023-06-15,2026-07-14,2025-01-31,2027-06,2027-06,Changes in the power of entrainment of natural gamma rhythms in patients with AD-MCI.; Changes in cognitive performance in patients with AD-MCI.; Changes in gamma power on cognition in patients with AD-MCI including the effect of baseline neurodegenerative burden/biomarkers. [exploratory],"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT05909189,https://clinicaltrials.gov/study/NCT05909189,LEADing Dementia End-of-Life Planning Conversations,LEADing Dementia End-of-Life Planning Conversations,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,NA,SUPPORTIVE_CARE,"Care, behavior, and quality of life",Care partners or care systems,120,University of Utah,LEADing Dementia End-of-Life Planning Conversations,Alzheimer Disease; Mild Cognitive Impairment,United States,True,1,1,False,True,2023-06-18,2026-07-10,2024-08-04,2027-05-31,2027-05-31,Decision-Making Self-Efficacy,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT05911178,https://clinicaltrials.gov/study/NCT05911178,Impact of Microglial Activation on Synaptic Density in Alzheimer's Disease,Impact of Microglial Activation on Synaptic Density in Alzheimer's Disease,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,NA,SCREENING,"Diagnostics, imaging, and biomarkers",Moderate or later dementia,90,Centre Hospitalier St Anne,[11C]-UCB-J; [18F]-DPA-714; [18F]-RO-948; [11C]-PiB,Alzheimer Disease,France,False,1,3,False,True,2023-06-20,2026-07-22,2023-10-18,2028-10-17,2028-10-17,Change in regional microglial activation and tau pathology from baseline at 24 months; Change in regional synaptic density from baseline at 24 months,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT05924425,https://clinicaltrials.gov/study/NCT05924425,Daridorexant to Treat Insomnia in Patients With Mild Cognitive Impairment and Mild to Moderate Alzheimer Disease,Daridorexant to Treat Insomnia in Patients With Mild Cognitive Impairment and Mild to Moderate Alzheimer Disease,RECRUITING,INTERVENTIONAL,PHASE4,TREATMENT,"Diagnostics, imaging, and biomarkers",Care partners or care systems,62,"University Hospital, Montpellier",Daridorexant 50 mg; Placebo; Polysomnography; Neuropsychological assessment; Questionnaires on sleep and behavioural problems; Actimetrics; 24-hour Ambulatory Blood Pressure Monitoring (ABPM; Biomarker assay,Alzheimer Disease; Insomnia Disorder; Sleep,France,False,1,1,False,True,2023-06-29,2026-06-25,2024-03-13,2027-05-13,2028-03-13,Change in Total Sleep Time (TST).,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT05980052,https://clinicaltrials.gov/study/NCT05980052,Goal Setting to Promote Physical Activity Adherence in Midlife Adults,Goal Setting to Promote Physical Activity Adherence in Midlife to Reduce Risk of Alzheimer's Disease and Related-Dementias: A Randomized Mechanistic Proof-Of-Concept Trial,RECRUITING,INTERVENTIONAL,NA,PREVENTION,Lifestyle and multidomain,MCI or prodromal Alzheimer’s,144,Arizona State University,Physical Activity,Physical Activity; Exercise,United States,True,1,1,False,True,2023-08-07,2026-07-17,2023-07-17,2027-05-31,2027-05-31,Change in accelerometer-measured moderate-to-vigorous intensity physical activity from baseline to 6- and 9-months; Change in Fitbit-assessed moderate-to-vigorous intensity physical activity; Change in self-reported moderate-to-vigorous intensity physical activity from baseline to 6- and 9-months,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT05980949,https://clinicaltrials.gov/study/NCT05980949,Open-Label Extension Study to Assess the Long-Term Safety and Tolerability of KarXT in Subjects With Psychosis Associated With Alzheimer's Disease (ADEPT-3),Open-Label Extension Study to Assess the Long-Term Safety and Tolerability of KarXT in Subjects With Psychosis Associated With Alzheimer's Disease (ADEPT-3),RECRUITING,INTERVENTIONAL,PHASE3,TREATMENT,Other interventional treatment research,Moderate or later dementia,1000,"Karuna Therapeutics, Inc., a Bristol Myers Squibb company",KarXT,Psychosis Associated With Alzheimer's Disease,Argentina; Belgium; Brazil; Bulgaria; Canada; Chile; China; Croatia; Czechia; France; Germany; Greece; Hungary; India; Israel; Italy; Japan; Mexico; Peru; Poland; Portugal; Puerto Rico; Romania; Serbia; Slovakia; South Korea; Spain; Turkey (Türkiye); Ukraine; United Kingdom; United States,True,31,429,True,True,2023-08-08,2026-07-06,2023-07-11,2027-09-07,2027-09-07,Incidence of treatment-emergent adverse events (TEAEs),"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT05987007,https://clinicaltrials.gov/study/NCT05987007,Sleep Interventions and Neurocognitive Outcomes,Sleep Interventions and Neurocognitive Outcomes in Amnestic Mild Cognitive Impairment,NOT_YET_RECRUITING,INTERVENTIONAL,NA,TREATMENT,"Care, behavior, and quality of life",MCI or prodromal Alzheimer’s,50,New York State Psychiatric Institute,Acoustic slow-wave activity enhancement; Cognitive behavioral therapy for insomnia,Sleep Disturbance; Amnestic Mild Cognitive Impairment,United States,True,1,1,False,True,2023-08-14,2026-07-06,2026-08-01,2028-12-31,2028-12-31,No Practice Effect (NPE) battery; Everyday Cognition (ECog); Conners Continuous Performance Test (CPT-3),"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT05999084,https://clinicaltrials.gov/study/NCT05999084,Georgia Memory Net Anti-Amyloid Monoclonal Antibody Registry,Georgia Memory Net Center for Medicare and Medicaid Services Registry for Anti-Amyloid Monoclonal Antibody Coverage With Evidence Development,ENROLLING_BY_INVITATION,OBSERVATIONAL,NOT_APPLICABLE,,"Care, behavior, and quality of life",Care partners or care systems,735,Emory University,Anti-amyloid Monoclonal Antibodies (mAbs); Standard of Care,Alzheimer Disease,United States,True,1,8,False,True,2023-08-21,2026-07-10,2025-03-06,2028-07,2028-07,Change in Quick Dementia Rating System (QDRS) Score; Montreal Cognitive Assessment (MoCA) Score; Change in Functional Activities Questionnaire (FAQ) Score,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06017505,https://clinicaltrials.gov/study/NCT06017505,Integrating eSAGE With EHR Data Using Machine Learning for the Early Detection and Monitoring of Cognitive Impairment in Individuals,Integrating the Electronic Self-administered Gerocognitive Examination (eSAGE) With Electronic Health Records (EHR) Data Using Machine Learning (ML) for the Early Detection and Monitoring of Cognitive Impairment in Individuals,ENROLLING_BY_INVITATION,OBSERVATIONAL,NOT_APPLICABLE,,"Diagnostics, imaging, and biomarkers",MCI or prodromal Alzheimer’s,1486,Douglas Scharre,electronic self administered gerocognitive examination (eSAGE),Dementia; Alzheimer Disease; Mild Cognitive Impairment; Worried Well,United States,True,1,1,False,True,2023-08-30,2026-06-15,2024-09-01,2027-09,2027-09,Area Under the Curve (AUC) for the ROC analysis in predicting subjects with cognitive impairment from cognitively normal subjects.,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06021704,https://clinicaltrials.gov/study/NCT06021704,The Care for America's Aging Study,Care for America's Aging (CfAA): A Study to Improve Behavioral and Quality of Life Outcomes of Older Adults With Cognitive Impairment and Dementia and Their Care Partners,NOT_YET_RECRUITING,INTERVENTIONAL,NA,HEALTH_SERVICES_RESEARCH,"Care, behavior, and quality of life",Care partners or care systems,120,Massachusetts General Hospital,Enhanced home health aide training in dementia and dementia-related behaviors,Cognitive Impairment; Dementia With Behavioral Disturbance; Dementia; Alzheimer Disease,United States,True,1,1,False,True,2023-09-01,2026-07-06,2026-10-01,2028-09-30,2028-12-31,"Neuropsychiatric Inventory-Questionnaire; Patient-Reported Outcomes Measurement Information System Global Health, 10-item","Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06045988,https://clinicaltrials.gov/study/NCT06045988,"Automated, Assistive, Non-Contact Sleep Quality Monitor for Individuals With Alzheimer's Disease","Automated, Assistive, Non-Contact Sleep Quality Monitor for Individuals With Alzheimer's Disease",NOT_YET_RECRUITING,INTERVENTIONAL,NA,DIAGNOSTIC,"Care, behavior, and quality of life",Mixed or not specified,100,Indiana University,Non-Contact Sleep Quality Monitor System,Alzheimer Disease; Dementia; Sleep Disturbance,United States,True,1,1,False,True,2023-09-21,2026-06-26,2026-07,2026-12,2026-12,Documentation of sleep disorders or treatment,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06052254,https://clinicaltrials.gov/study/NCT06052254,Dexmedetomidine Transdermal Systems (DMTS) Treatment for Agitation Associated With Dementia of the Alzheimer's Type,"A Double-Blind, Placebo-Controlled Evaluation of the Dexmedetomidine Transdermal Systems for Agitation Associated With Dementia of the Alzheimer's Type",RECRUITING,INTERVENTIONAL,PHASE2,TREATMENT,"Care, behavior, and quality of life",Care partners or care systems,150,"Teikoku Pharma USA, Inc.",12 cm2 - 2 Active DMTS Patches; 6 cm2 - 1 Active and 1 Placebo DMTS Patches; Placebo - 2 Placebo DMTS Patches,Agitation,United States,True,1,8,False,True,2023-09-25,2026-07-24,2025-09-16,2027-05,2027-05,Change in Agitated Behavior Scale (ABS) total score from baseline (Day -4 to Day -1 mean score) to the 96 hours of first application (Day 1 to Day 4).,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06059313,https://clinicaltrials.gov/study/NCT06059313,Premorbid Personality Profile of Patients With Cognitive and Behavioral Disorders,Relationship Between Premorbid Personality Traits and Cognitive and Behavioral Disorders,RECRUITING,OBSERVATIONAL,NOT_APPLICABLE,,Other interventional treatment research,Care partners or care systems,120,Nantes University Hospital,Submission of the NEO-PI-3 questionnaire; Submission of the Interpersonal Reactivity Index questionnaire (IRI),Behavioral Variant of Frontotemporal Disorder (bvFTD); Phenocopy Frontotemporal Dementia (phFTD); Frontal Variant of Alzheimer Disease; Bipolar Disorder,France,False,1,1,False,True,2023-09-28,2026-06-29,2023-12-14,2026-12-14,2026-12-14,Premorbid personality traits,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06072963,https://clinicaltrials.gov/study/NCT06072963,COMMETS- Combination MCI Metabolic Syndrome,Combination of Intranasal Insulin With Oral Semaglutide to Improve Cognition and Cerebral Blood Flow: a Feasibility Study,RECRUITING,INTERVENTIONAL,PHASE2,TREATMENT,"Diagnostics, imaging, and biomarkers",MCI or prodromal Alzheimer’s,80,"Rutgers, The State University of New Jersey",Semaglutide; Intranasal insulin; Semaglutide placebo; Intranasal insulin placebo,Alzheimer Disease; Mild Cognitive Impairment; Metabolic Syndrome,Israel,False,1,1,False,True,2023-10-10,2026-07-27,2024-01-30,2027-12-01,2028-12-01,Cognitive change - The effect of the combination of Semaglutide and intranasal insulin on cognitive functioning.; Neuroimaging outcome -- The effect of the combination of Semaglutide and intranasal insulin on cerebral blood flow (CBF).; Neuroimaging outcome -- The effect of the combination of Semaglutide and intranasal insulin on brain glucose intake.,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06099587,https://clinicaltrials.gov/study/NCT06099587,MIMA Pilot Study: MIcrostructure of the Medial Temporal Lobe in Early Alzheimer's Disease,MIMA Pilot Study: MIcrostructure of the Medial Temporal Lobe in Early Alzheimer's Disease,RECRUITING,INTERVENTIONAL,NA,DIAGNOSTIC,"Diagnostics, imaging, and biomarkers",Preclinical or elevated-risk,50,Rennes University Hospital,high-resolution diffusion MRI,"Alzheimer Disease, Early Onset",France,False,1,1,False,True,2023-10-25,2026-06-17,2024-07-02,2028-07-03,2029-03-02,Diffusion-MRI based parameters estimates of medial temporal lobe gray matter microstructure,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06125951,https://clinicaltrials.gov/study/NCT06125951,Effect of 10 mg Xanamem on Dementia Due to Alzheimer's Disease,"A Phase 2b/3, Double-Blind, Placebo-Controlled, Parallel-Group, 36-Week, 2-Arm Trial With an Open-Label Extension Phase to Assess the Safety, Tolerability, and Efficacy of Xanamem® 10 mg Daily in Patients With Mild or Moderate Dementia Due to Alzheimer's Disease",ACTIVE_NOT_RECRUITING,INTERVENTIONAL,PHASE2+PHASE3,TREATMENT,Other interventional treatment research,Early Alzheimer’s disease,247,Actinogen Medical,Xanamem; Placebo,"Dementia Moderate; Dementia, Mild; Alzheimer Disease",Australia; United States,True,2,34,True,True,2023-11-09,2026-07-21,2024-04-12,2026-10,2028-02,Effects of 10 mg Xanamem on integrated cognitive and functional abilities; Incidence and severity of treatment-emergent adverse events (TEAEs) [safety and tolerability of Xanamem],"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT06126224,https://clinicaltrials.gov/study/NCT06126224,A Study to Assess Efficacy and Safety of KarXT for the Treatment of Psychosis Associated With Alzheimer's Disease (ADEPT-2),"A Phase 3, Randomized, Double-Blind, Placebo-Controlled, Parallel Group Study to Evaluate the Safety and Efficacy of KarXT for the Treatment of Psychosis Associated With Alzheimer's Disease",RECRUITING,INTERVENTIONAL,PHASE3,TREATMENT,Other interventional treatment research,Moderate or later dementia,500,"Karuna Therapeutics, Inc., a Bristol Myers Squibb company",KarXT; Placebo,Psychosis Associated With Alzheimer's Disease,Belgium; Canada; Chile; China; Greece; Hungary; Mexico; Peru; Poland; South Korea; Switzerland; Turkey (Türkiye); United Kingdom; United States,True,14,154,True,True,2023-11-13,2026-07-15,2023-08-28,2026-12-09,2026-12-09,Change from Baseline to End of Treatment in the Neuropsychiatric Inventory-Clinician: Hallucinations and Delusions (NPI-C: H+D) score,"Last public update posted after June 10, 2026; historical status not reconstructed"
