nct_id,url,brief_title,official_title,overall_status,study_type,phase,primary_purpose,category,participant_stage,enrollment,lead_sponsor,interventions,conditions,countries,has_us_site,country_count,location_count,multinational,has_public_locations,study_first_post_date,last_update_post_date,start_date,primary_completion_date,completion_date,primary_outcomes,excluded_reason
NCT04396873,https://clinicaltrials.gov/study/NCT04396873,PET Imaging of Cyclooxygenases in Neurodegenerative Brain Disease,Phase 1 Study: PET Imaging of Cyclooxygenases in Neurodegenerative Brain Disease,RECRUITING,INTERVENTIONAL,PHASE1,DIAGNOSTIC,"Diagnostics, imaging, and biomarkers",Care partners or care systems,184,National Institute of Mental Health (NIMH),11C-MC1; 11C-PS13; 18f-florbetaben,Parkinson's Disease; Dementia; Alzheimer's Disease; ALS; Mild Cognitive Impairment,United States,True,1,1,False,True,2020-05-21,2026-07-02,2021-08-17,2029-04-11,2030-10-03,Measure the concentration of radioligands,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT04576793,https://clinicaltrials.gov/study/NCT04576793,Longitudinal Imaging of Microglial Activation in Different Clinical Variants of Alzheimer's Disease,Longitudinal Imaging of Microglial Activation in Different Clinical Variants of Alzheimer's Disease,RECRUITING,INTERVENTIONAL,PHASE2,DIAGNOSTIC,"Diagnostics, imaging, and biomarkers",MCI or prodromal Alzheimer’s,100,Columbia University,11C-ER176; 18F-MK6240; 18F-Florbetaben; Lumbar Puncture,Alzheimer Disease,United States,True,1,1,False,True,2020-10-06,2026-07-06,2020-11-17,2027-05-31,2027-05-31,11C-ER176 Standardized Uptake Value Ratio; 18F-MK6240 Standardized Uptake Value Ratio,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT04601038,https://clinicaltrials.gov/study/NCT04601038,Trial of CORT108297 to Attenuate the Effects of Acute Stress in the Allocortex (CORT-X),Phase II Trial of CORT108297 to Attenuate the Effects of Acute Stress in the Allocortex (CORT-X),RECRUITING,INTERVENTIONAL,PHASE2,TREATMENT,Synapses and neuronal communication,Preclinical or elevated-risk,52,Johns Hopkins University,CORT108297; Placebo,Mild Cognitive Impairment; Alzheimer Disease; Memory Impairment,United States,True,1,1,False,True,2020-10-23,2026-07-13,2021-06-28,2027-11-30,2028-01-01,"Memory as assessed by pattern separation task performance after 2 weeks of treatment with CORT108297; Memory as assessed by the Hopkins Verbal Learning Test-Revised Edition (HVLT-R) after 2 weeks of treatment with CORT108297; Executive functioning as assessed by the Trail Making Test (TMT), part B after 2 weeks of treatment with CORT108297","Last public update posted after June 10, 2026; historical status not reconstructed"
NCT04629547,https://clinicaltrials.gov/study/NCT04629547,Sleep Trial to Prevent Alzheimer's Disease,Sleep Trial to Prevent Alzheimer's Disease,RECRUITING,INTERVENTIONAL,PHASE2,PREVENTION,"Diagnostics, imaging, and biomarkers",Mixed or not specified,120,University of Minnesota,Suvorexant 20 mg; Placebo,Sleep; Alzheimer Disease,United States,True,1,1,False,True,2020-11-16,2026-07-13,2022-05-25,2028-05,2028-05,Change from baseline in Amyloid-β accumulation measured by plasma pT217/T217 in participants treated with 20 mg suvorexant compared to placebo,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT04639050,https://clinicaltrials.gov/study/NCT04639050,"Brainshuttle AD: A Multiple Ascending Dose Study to Investigate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of RO7126209 Following Intravenous Infusion in Participants With Prodromal or Mild to Moderate Alzheimer's Disease","A Phase Ib/IIa, Randomized, Double Blind, Placebo-Controlled, Multiple Ascending Dose, Parallel-Group Study to Investigate the Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of RO7126209 Following Intravenous Infusion in Patients With Prodromal or Mild to Moderate Alzheimer's Disease",ACTIVE_NOT_RECRUITING,INTERVENTIONAL,PHASE1+PHASE2,TREATMENT,"Diagnostics, imaging, and biomarkers",MCI or prodromal Alzheimer’s,241,Hoffmann-La Roche,RO7126209; Placebo,Alzheimers Disease,Australia; Canada; Chile; Japan; Poland; South Korea; Spain; United Kingdom; United States,True,9,41,True,True,2020-11-20,2026-06-16,2021-03-15,2027-07-31,2027-07-31,"Part 1, 2, 3, and 4: Percentage of Participants With Adverse Events (AEs); Part 3: Change From Baseline in Brain Amyloid Load as Measured by Amyloid Positron Emission Tomography (PET) Scan","Last public update posted after June 10, 2026; historical status not reconstructed"
NCT04692441,https://clinicaltrials.gov/study/NCT04692441,Apolipoprotein E (APOE) Genotype Effects on Triglycerides and Blood Flow in the Human Brain,APOE Genotype Effects on Triglycerides and Blood Flow in the Human Brain,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,NA,BASIC_SCIENCE,"Diagnostics, imaging, and biomarkers",Preclinical or elevated-risk,90,University of Washington,Heavy Cream,Alzheimer Disease; Dementia,United States,True,1,1,False,True,2020-12-31,2026-07-08,2021-05-01,2025-06-30,2026-06-30,Difference in global cerebral blood flow between baseline and 2 hours post lipid ingestion (Change CBF),"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT04753320,https://clinicaltrials.gov/study/NCT04753320,Remote Monitoring in Progressive Supranuclear Palsy (PSP),"Remote Monitoring in Progressive Supranuclear Palsy, an Alzheimer's Disease Related Dementia",NOT_YET_RECRUITING,OBSERVATIONAL,NOT_APPLICABLE,,"Care, behavior, and quality of life",Care partners or care systems,85,Massachusetts General Hospital,,Progressive Supranuclear Palsy; Parkinson Disease; MSA - Multiple System Atrophy,United States,True,1,2,False,True,2021-02-15,2026-07-23,2026-08-01,2028-12,2028-12,Primary feasibility outcome,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT04785300,https://clinicaltrials.gov/study/NCT04785300,ALSENLITE: Senolytics for Alzheimer's Disease,ALSENLITE: An Open-Label Pilot Study of Senolytics for Alzheimer's Disease,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,PHASE1+PHASE2,TREATMENT,"Diagnostics, imaging, and biomarkers",Preclinical or elevated-risk,20,Mayo Clinic,Dasatinib; Quercetin,Mild Cognitive Impairment; Alzheimer Disease,United States,True,1,1,False,True,2021-03-05,2026-07-17,2022-07-06,2026-12,2026-12,Safety and Tolerability,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT04838301,https://clinicaltrials.gov/study/NCT04838301,Allopregnanolone Regenerative Therapeutic for Mild Alzheimer's Disease,"Safety and Efficacy of Allopregnanolone (Allo) as a Regenerative Therapeutic for Alzheimer's Disease: Multicenter, Double-Blind, Randomized, Placebo-Controlled, Phase 2 Clinical Trial",ACTIVE_NOT_RECRUITING,INTERVENTIONAL,PHASE2,TREATMENT,"Diagnostics, imaging, and biomarkers",Mild Alzheimer’s dementia,100,University of Arizona,Allopregnanolone; Placebo,Alzheimer Dementia; Late Onset Alzheimer Disease; Neurodegenerative Diseases,United States,True,1,9,False,True,2021-04-09,2026-06-30,2023-08-15,2026-11-18,2027-03-18,Hippocampal volume,"Last public update posted after June 10, 2026; historical status not reconstructed"
NCT04908358,https://clinicaltrials.gov/study/NCT04908358,The Wandering Nerve: Gateway to Boost Alzheimer's Disease Related Cognitive Performance,The Wandering Nerve: Gateway to Boost Alzheimer's Disease Related Cognitive,ACTIVE_NOT_RECRUITING,INTERVENTIONAL,NA,OTHER,"Diagnostics, imaging, and biomarkers",Preclinical or elevated-risk,126,Massachusetts General Hospital,Active transcutaneous vagus nerve stimulation respiratory-gated non-painful electrical stimulation of the auricle for 10 minute sessions; Sham transcutaneous vagus nerve stimulation respiratory-gated non-painful electrical stimulation of the auricle for 10 minute sessions,Aging,United States,True,1,1,False,True,2021-06-01,2026-06-29,2021-11-24,2026-08-31,2026-08-31,Performance on the Face-name association memory task (FNAME); Being a responder as determined by Face-name association memory task (FNAME) change scores,"Last public update posted after June 10, 2026; historical status not reconstructed"
