Row Type,Action,Campaign status,Campaign ID,Campaign,Campaign type,Networks,Budget,Delivery method,Budget type,Bid strategy type,Bid strategy,Campaign start date,Campaign end date,Language,Location,Exclusion,Devices,Label,Target CPA,Target ROAS,Display URL option,Website description,Target Impression Share,Max CPC Bid Limit for Target IS,Location Goal for Target IS,Tracking template,Final URL suffix,Custom parameter,Inventory type,Campaign subtype,Video ad formats,EU political ads
Campaign,Add,Paused,,MD | Search | Insulin Resistance,Search,Google search,95.00,Standard,Daily,Maximize Conversions,,,,en,,,,,,,,,,,,,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={creative}&utm_term={keyword},,,,,No
Campaign,Add,Paused,,MD | Search | A1C Education,Search,Google search,70.00,Standard,Daily,Maximize Conversions,,,,en,,,,,,,,,,,,,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={creative}&utm_term={keyword},,,,,No
Campaign,Add,Paused,,MD | Search | Post-Meal Blood Sugar,Search,Google search,65.00,Standard,Daily,Maximize Conversions,,,,en,,,,,,,,,,,,,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={creative}&utm_term={keyword},,,,,No
Campaign,Add,Paused,,MD | Search | Fasting Glucose,Search,Google search,55.00,Standard,Daily,Maximize Conversions,,,,en,,,,,,,,,,,,,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={creative}&utm_term={keyword},,,,,No
Campaign,Add,Paused,,MD | Search | Type 3 Diabetes,Search,Google search,44.00,Standard,Daily,Maximize Conversions,,,,en,,,,,,,,,,,,,utm_source=google&utm_medium=cpc&utm_campaign={campaignid}&utm_content={creative}&utm_term={keyword},,,,,No
