Campaign,Campaign status,Budget,Budget type,Campaign type,Networks,Bid Strategy Type,Final URL,Path 1,Path 2,Ad Group
MD | Search | Insulin Resistance,Paused,95,Daily,Search,Google Search,Maximize conversions,https://www.mindfuldiabetes.ai/resources/insulin-resistance,insulin,resistance,Insulin Resistance Education
MD | Search | A1C Education,Paused,70,Daily,Search,Google Search,Maximize conversions,https://www.mindfuldiabetes.ai/resources/understanding-a1c,a1c,guide,A1C Education
MD | Search | Post-Meal Blood Sugar,Paused,65,Daily,Search,Google Search,Maximize conversions,https://www.mindfuldiabetes.ai/resources/post-meal-blood-sugar,blood-sugar,after-meals,Post-Meal Blood Sugar Education
MD | Search | Fasting Glucose,Paused,55,Daily,Search,Google Search,Maximize conversions,https://www.mindfuldiabetes.ai/resources/fasting-glucose-basics,fasting,glucose,Fasting Glucose Education
MD | Search | Type 3 Diabetes,Paused,44,Daily,Search,Google Search,Maximize conversions,https://www.mindfuldiabetes.ai/resources/type-3-diabetes,type-3,research,Type 3 Diabetes Research Education
